case_id,condition,stop_time_s,is_steady,egr_ratio_cmd,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,V_cell_err,V_stack_sim,pO2_ref_no_egr_kPa,pO2_ca_in_kPa,pH2O_caIn_kPa,RH_ca_in,T_ca_in_C,T_stack_sim_C,lambda_O2_actual,pressure_order_ok,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,Q_gen_W,Q_cool_W,hum_transfer_kg_s,RH_hum_wet_out,pH2O_hum_wet_out_kPa,oxygen_stoich_cmd,dV_cell_30s,dT_stack_30s_C,dRH_ca_in_30s,model_name
bench_j0p10,no_egr_frozen_baseline,120,1,0,38,0.1,0.80165625,0.79737400925938,-0.00428224074062011,12.7579841481501,26.4432593913247,27.7218202823409,17.8218462424718,0.744533936737798,64.001675099431,61.9012886237828,4.91459241694795,1,150.145570740519,139.223633518458,133.825,277.628602370297,252.447509557986,7.97777770599031e-05,0.185212990770556,3.65768908938133,4.91459241694795,0.000316081337139562,0.274547993330074,0.00781078630003029,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p20,no_egr_frozen_baseline,120,1,0,76,0.2,0.7726375,0.775094208124761,0.00245670812476095,12.4015073299962,30.0894111979557,30.4879952347303,19.3519054148158,0.744928441396202,65.825502399331,63.6414680972497,3.54997721868071,1,164.879328969615,151.641024355288,145.925,582.349442920291,369.317653930263,0.000111476663091183,0.255222588381256,5.58219693295351,3.54997721868071,0.0001425284896166,0.120493282203746,0.00340025533398702,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p30,no_egr_frozen_baseline,120,1,0,114,0.3,0.75044375,0.758850846422083,0.00840709642208304,12.1416135427533,31.0216598696648,31.3970118733706,19.9905603756373,0.724519600581406,67.1823986831741,65.0440081693824,2.9731471227948,1,169.856965499125,153.465150882275,147.425,903.152056126121,538.382704862977,0.000139137189224618,0.332004296969139,7.65061198437577,2.9731471227948,4.65277718753043e-06,0.00390978802191455,0.000106643402820961,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p40,no_egr_frozen_baseline,120,1,0,152,0.4,0.73384375,0.74409503438854,0.0102512843885404,11.9055205502166,32.9422687893888,33.2296742412135,21.3022279383283,0.717820598041444,68.8391970637107,66.7288492096625,2.38807659696766,1,179.916424793763,161.457010357849,157.525,1240.08887636707,692.598523837807,0.000147992755663612,0.425776344622335,10.5123382179756,2.38807659696766,0.0001840770581365,0.153667634248862,0.00412104410078051,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p60,no_egr_frozen_baseline,300,1,0,228,0.6,0.7102375,0.715831774149165,0.00559427414916525,11.4533083863866,36.4057139049126,36.3926147551606,25.9623862524345,0.696887682902392,74.1303176067972,72.1148998366927,1.98429552984753,1,199.674151193535,176.861083933498,174.825,1963.23768790385,1517.2154135136,0.000198531903359765,0.510092283148037,15.6378713524149,1.98429552984753,2.35722041264097e-05,0.0196420636430616,0.000497886431328753,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p70,no_egr_frozen_baseline,300,1,0,266,0.7,0.701175,0.701696044206259,0.000521044206259313,11.2271367073001,37.8824825789663,37.5933926596215,30.1582546403317,0.703282584749414,77.4956122624841,75.4302039491413,1.8802306717326,1,209.601656356902,184.142427046854,183.325,2350.60563585816,1864.39041345497,0.000241994478416837,0.502249351910821,17.9378021977619,1.8802306717326,3.39791259663658e-05,0.028885790092275,0.000715857032258627,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p90,no_egr_frozen_baseline,300,1,0,342,0.9,0.68263125,0.682051763318501,-0.000579486681498653,10.912828213096,41.6925139774027,41.3027673964543,32.2955122296634,0.689244030775829,79.6535332284117,77.6300823423582,1.79201883121889,1,229.444759945436,200.973515613072,200.225,3129.70075112116,2616.67572523341,0.000278890995456987,0.576610643202519,22.449022293496,1.79201883121889,3.79348173233929e-05,0.0351356958352369,0.000848840764721137,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p10,no_egr_frozen_baseline,300,1,0,418,1.1,0.6660375,0.664483486393632,-0.00155401360636842,10.6317357822981,45.8231389837559,45.4942895556403,32.1154223500019,0.653446005761444,80.828237686047,78.9841222916165,1.79251825121533,1,249.27193574208,219.43830982717,216.225,3942.68644299939,3427.09357492508,0.000296809535800475,0.667598206259482,26.5188186604693,1.79251825121533,2.76577901081598e-05,0.0272234308726809,0.000617069995043518,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p30,no_egr_frozen_baseline,300,1,0,494,1.3,0.646875,0.647075291346261,0.000200291346261428,10.3532046615402,48.7402584812258,47.7236666952661,31.3170987350717,0.616067762673064,81.6634290885953,80.0029630574469,1.78830007309157,1,259.115030454719,227.735610580662,221.225,4797.13289719915,4287.56262086489,0.000318433530809645,0.735957795143817,29.2142940580423,1.78830007309157,1.33233831900448e-05,0.0140136063683656,0.000298169122388114,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p50,no_egr_frozen_baseline,300,1,0,570,1.5,0.62398125,0.630374139298294,0.00639288929829429,10.0859862287727,48.9903028744302,47.5507442537077,31.8908546694637,0.625827811942712,81.7239337519929,79.8928720250892,1.79048061762986,1,258.863380940145,223.692158226351,213.825,5687.46784959956,5189.47772777681,0.000372887996871608,0.727618006594489,29.6525547728838,1.79048061762986,3.62199637615745e-06,0.00414233196022451,8.89852794458967e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p70,no_egr_frozen_baseline,300,1,0,646,1.7,0.60195,0.61330824570285,0.0113582457028499,9.8129319312456,49.4367956106046,47.6629672802536,31.410204225075,0.607995039992348,82.065084897859,80.2942218208053,1.79621983471834,1,258.918401266858,220.440625729601,205.725,6622.18997241534,6122.60975413753,0.000413853164772048,0.734245838387488,29.9978203861743,1.79621983471834,1.69858135767864e-06,0.00212322645759855,4.42272640254204e-05,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p80,no_egr_frozen_baseline,120,1,0,684,1.8,0.59018125,0.605181619273866,0.0150003692738658,9.68290590838185,49.3676992239311,47.5943674621137,31.4720668907964,0.62025613871893,81.6177714992253,79.7334971148027,1.79201883121889,1,258.652818499931,217.832571652089,201.225,7100.66835866681,6236.93105964917,0.000437385096288448,0.728827053128505,29.8829977494089,1.79201883121889,0.000323361209464412,0.432771249156389,0.00930489039020177,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p90,no_egr_frozen_baseline,120,1,0,722,1.9,0.57885625,0.59615565072861,0.0172994007286101,9.53849041165776,49.347492697342,47.559305148204,31.6722091721821,0.616904279018252,81.9098502125944,80.0241020538369,1.79242362426864,1,258.68559890108,215.176571953604,196.025,7599.4179227831,6767.21959683964,0.000463365319510237,0.717690751038537,29.7942090720285,1.79242362426864,0.000284190217530012,0.401601785476856,0.00856798317178875,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
