condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,V_cell_target,V_cell_target_error,current_density_solved_A_cm2,fixed_noEGR_boundary_case_index,fixed_noEGR_boundary_current_A,fixed_noEGR_boundary_current_density_A_cm2,fixed_noEGR_boundary_source,air_flow_control,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label
constant_voltage_fixed_noEGR_boundary,j0.082_boundary_038A,1,38,0.1,31.16,0.082,0,1,49.7,0.799892452293148,398.794381015272,19.104195696556,136.580491432728,61.6651413904756,-181.363636483219,226.399858984728,75.7999378167955,329.98989978701,1.97365786414138,3.54302360765976,0.001071035,0,0.000649931851150116,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.6651413904756,0,5.5,61.6,60.6,1163.62173517251,V_cell,0.8,-0.000107547706851729,0.082,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.080_boundary_038A,1,38,0.1,30.4,0.08,0.05,1,49.7,0.800069006073303,389.153564554055,19.0381455863323,136.602171877086,61.6605416571954,-181.598035089856,220.792035445945,70.4811019897315,329.948506875461,1.96046167060959,3.58723306323132,0.001071035,3.23619152590241e-05,0.000614876389921458,3.23619152590241e-05,0.05,3000,57.1142080137057,29,1.25817939016247,39.1168761954548,1,112.325,59.0740691701567,141.325,95.4148655690599,58.9,141.325,0.185476889632273,26.2125214272809,0.807820105805381,64.6605416571954,0,5.5,61.6,60.6,1164.17530102016,V_cell,0.8,6.90060733030684e-05,0.08,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.079_boundary_038A,1,38,0.1,30.02,0.079,0.1,1,49.7,0.799810352818892,384.16490866597,18.9115201950317,136.605122387806,61.6583762054713,-181.706407400246,218.15637133403,67.9771077613218,329.92901997739,1.95665099556408,3.60123108735306,0.001071035,6.46815118026717e-05,0.000582133606224045,6.46815118026717e-05,0.1,3000,57.1788211027838,29,1.25817939016247,39.1373293345313,1,112.325,59.2477800017003,141.325,95.6075780038804,58.9,141.325,0.183876244145093,25.9863102038053,0.815605300101691,64.6583762054713,0,5.5,61.6,60.6,1164.46602194356,V_cell,0.8,-0.000189647181108255,0.079,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.077_boundary_038A,1,38,0.1,29.26,0.077,0.15,1,49.7,0.799965180391345,374.511698852012,18.837901201247,136.627576881644,61.6537867657204,-181.940197909562,212.560941147988,62.6701744950634,329.887719695442,1.9432448670446,3.64741331210777,0.001071035,9.66046143452671e-05,0.000547426147956514,9.66046143452671e-05,0.15,3000,57.2424290122583,29,1.25817939016247,39.1574904349389,1,112.325,59.4190105156841,141.325,95.7975388081213,58.9,141.325,0.182278333971311,25.7604855484955,0.823162082256786,64.6537867657204,0,5.5,61.6,60.6,1165.15974990586,V_cell,0.8,-3.48196086545904e-05,0.077,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.075_boundary_038A,1,38,0.1,28.5,0.075,0.2,1,49.7,0.800116965552104,364.85333629176,18.7618240374783,136.650541501555,61.6492016663062,-182.173758240676,206.97066370824,57.3682600919424,329.846458471921,1.92970338505291,3.69555098697418,0.001071035,0.000128237307083095,0.00051294922833238,0.000128237307083095,0.2,3000,57.3054672122108,29,1.25817939016247,39.1774358335826,1,112.325,59.5884090501045,141.325,95.9854672391414,58.9,141.325,0.180663855748997,25.532319413727,0.830550925510249,64.6492016663062,0,5.5,61.6,60.6,1165.98205708892,V_cell,0.8,0.000116965552104276,0.075,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.074_boundary_038A,1,38,0.1,28.12,0.074,0.25,1,49.7,0.799776258764682,359.835334343406,18.6141663100717,136.65415123459,61.6470602406009,-182.280603693358,204.364345656594,54.8920472294274,329.827187777482,1.92571434304366,3.70881935420031,0.001071035,0.000160171514298461,0.000480514542895384,0.000160171514298461,0.25,3000,57.3703500115008,29,1.25817939016247,39.1975828035161,1,112.325,59.7595195523671,141.325,96.1752949040104,58.9,141.325,0.178922715310346,25.2862527412347,0.838092647217242,64.6470602406009,0,5.5,61.6,60.6,1166.42087946376,V_cell,0.8,-0.000223741235318209,0.074,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.072_boundary_038A,1,38,0.1,27.36,0.072,0.3,1,49.7,0.799899141475062,350.163848172123,18.5286951103506,136.677938464764,61.6424860426511,-182.513521082004,198.787191827877,49.602738354231,329.786024654282,1.91194990136796,3.75908046717273,0.001071035,0.000191323594008998,0.000446421719354329,0.000191323594008998,0.3,3000,57.4327604730657,29,1.25817939016247,39.2171695900855,1,112.325,59.9258723537397,141.325,96.3598444401957,58.9,141.325,0.17724512012923,25.0491666022634,0.845202687729091,64.6424860426511,0,5.5,61.6,60.6,1167.50667417004,V_cell,0.8,-0.000100858524937797,0.072,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.070_boundary_038A,1,38,0.1,26.6,0.07,0.35,1,49.7,0.80001732847087,340.487374997202,18.4401970768999,136.702262144441,61.637916061347,-182.74622301713,193.215025002798,44.3183053355238,329.744899476584,1.89804320782011,3.81159973379583,0.001071035,0.000222159560420494,0.000412582040780918,0.000222159560420494,0.35,3000,57.4945891670714,29,1.25817939016247,39.2365257448981,1,112.325,60.0902663734259,141.325,96.5422209306088,58.9,141.325,0.175546269295717,24.8090765082173,0.852136093239585,64.637916061347,0,5.5,61.6,60.6,1168.85308655615,V_cell,0.8,1.73284708704369e-05,0.07,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.068_boundary_038A,1,38,0.1,25.84,0.068,0.4,1,49.7,0.800130850727354,330.806098924717,18.3485805112098,136.72713102178,61.6333501519857,-182.97872280534,187.647661075283,39.0385808633078,329.703810942327,1.88399207498776,3.86656786111901,0.001071035,0.000252669556010561,0.000379004334015842,0.000252669556010561,0.4,3000,57.5558253214791,29,1.25817939016247,39.2556455697504,1,112.325,60.2526532159359,141.325,96.7223706859512,58.9,141.325,0.173825186367346,24.5658444633652,0.858889827561601,64.6333501519857,0,5.5,61.6,60.6,1170.56680521563,V_cell,0.8,0.000130850727353748,0.068,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.066_boundary_038A,1,38,0.1,25.08,0.066,0.45,1,49.7,0.800239797060151,321.120225764298,18.2537583399603,136.752553576422,61.6287881523935,-183.211035197921,182.084894235702,33.7633774273002,329.662757592246,1.86979441407742,3.9242001804135,0.001071035,0.000282843531176199,0.000345697649215355,0.000282843531176199,0.45,3000,57.6164580360733,29,1.25817939016247,39.2745232618769,1,112.325,60.4129835977253,141.325,96.900239031729,58.9,141.325,0.172080900702894,24.3193332918365,0.865460883221467,64.6287881523935,0,5.5,61.6,60.6,1172.8219639026,V_cell,0.8,0.000239797060151314,0.066,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.065_boundary_038A,1,38,0.1,24.7,0.065,0.5,1,49.7,0.799718528065575,316.048762291515,18.0612220574124,136.757542247045,61.6266905152227,-183.315068156639,179.532037708485,31.3377973174248,329.643880938367,1.86542760933159,3.93542709032053,0.001071035,0.000313939499773023,0.000313939499773023,0.000313939499773023,0.5,3000,57.6819431813427,29,1.25817939016247,39.29403597639,1,112.325,60.5787072967165,141.325,97.0840906502853,58.9,141.325,0.170035345157325,24.030245154359,0.872507060166551,64.6266905152227,0,5.5,61.6,60.6,1174.117361767,V_cell,0.8,-0.00028147193442507,0.065,1,38,0.1,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.200_boundary_076A,2,76,0.2,76,0.2,0,1,71.8,0.774893918711964,942.271005153749,17.7232953303709,148.898497042536,63.4739599011204,-83.2925452126207,582.592994846251,317.03954932036,346.267304960987,2.57868577752419,2.40450982319515,0.00154729,0,0.00104317235138007,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.4739599011204,0,6,63.2,64.6,1157.24800609081,V_cell,0.775,-0.000106081288035575,0.2,2,76,0.2,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.195_boundary_076A,2,76,0.2,74.1,0.195,0.05,1,71.8,0.774994976627227,918.834044289241,17.5783695468343,148.931667787963,63.461928599162,-83.930264192858,567.908355710759,303.127388539461,346.159035997742,2.55219536641464,2.42297587954032,0.00154729,5.19346152490235e-05,0.000986757689731446,5.19346152490235e-05,0.05,3000,72.6469369977452,29,1.22794262134015,50.6972632921686,1,127.225,61.3766219584513,156.225,93.9788090737692,61.2,156.225,0.189803651577998,29.6520754677728,0.616366227543982,66.461928599162,0,6,63.2,64.6,1157.29015277168,V_cell,0.775,-5.02337277275e-06,0.195,2,76,0.2,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.190_boundary_076A,2,76,0.2,72.2,0.19,0.1,1,71.8,0.77506549668565,895.355661771263,17.4261903677625,148.966185073785,63.4499311219514,-84.5657585997174,553.265138228737,289.254339234917,346.051071412735,2.5254861808021,2.44169293288071,0.00154729,0.000103404531529485,0.000930640783765368,0.000103404531529485,0.1,3000,72.7698090785632,29,1.22794262134015,50.7236692215222,1,127.225,61.5508618635801,156.225,94.1700299951075,61.2,156.225,0.187032891398182,29.219213458681,0.632381965153987,66.4499311219514,0,6,63.2,64.6,1157.33621718033,V_cell,0.775,6.5496685650257e-05,0.19,2,76,0.2,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.185_boundary_076A,2,76,0.2,70.3,0.185,0.15,1,71.8,0.775103160958209,871.836035445794,17.2663548936486,149.002106291797,63.4379673264274,-85.1990283577632,538.663164554206,275.420235960932,345.943409918414,2.4985470326238,2.4606513155225,0.00154729,0.000154383639319788,0.000874840622812133,0.000154383639319788,0.15,3000,72.8915513404403,29,1.22794262134015,50.7497029043896,1,127.225,61.722645494909,156.225,94.3585552599098,61.2,156.225,0.184224131553279,28.780414951911,0.648035184833651,66.4379673264274,0,6,63.2,64.6,1157.38677278008,V_cell,0.775,0.000103160958209059,0.185,2,76,0.2,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
constant_voltage_fixed_noEGR_boundary,j0.180_boundary_076A,2,76,0.2,68.4,0.18,0.2,1,71.8,0.775105492783618,848.275451302392,17.0984481677928,149.039490606634,63.4260369809056,-85.8300779725441,524.102148697608,261.624810793942,345.83604942971,2.47136644650045,2.4798405047254,0.00154729,0.000204844360984109,0.000819377443936435,0.000204844360984109,0.2,3000,73.0121238118353,29,1.22794262134015,50.7753524493861,1,127.225,61.8918943869649,156.225,94.5442987556405,61.2,156.225,0.181374517754835,28.3352340362491,0.663313354801019,66.4260369809056,0,6,63.2,64.6,1157.44251115779,V_cell,0.775,0.000105492783618044,0.18,2,76,0.2,EGR0_voltage_solution_nearest_bench,fixed_noEGR_boundary_selected_at_EGR0,good,constant_voltage_fixed_noEGR_boundary,1,1,1,1,0,1,dq60_map_extrapolation
