case_id,case_index,current_A,current_density_A_cm2,egr_fraction_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,pH2_stack_kPa,p_an_internal_kPa,T_stack_C,lambda_membrane,xO2_stack,RH_stack,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,E_nernst_V,eta_act_V,eta_ohm_V,eta_con_V,lambda_O2_actual,pO2_core_in_kPa,CO2_voltage_mol_m3,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,Q_cool_bench_signed_W,h_cool_effective_W_K,V_cell_bench,V_cell_error
bench_038A,1,38,0.1,0,0.760420519412516,462.33567580281,18.2020738411549,136.246720177803,143.276085858267,150.172135681432,61.7255901327669,4.78854681481836,0.133596418448834,0.778312514674625,-178.292972064874,300.09632419719,145.699001938487,330.533877054343,2.1564172692341,1.19421218533529,0.422202891904828,0.0115107650439553,7.80089739893745e-05,3.10966400821082,26.4313536258226,0.0198974122407606,0.001071035,0,0.000690397014459987,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.7255901327669,0,5.5,61.6,60.6,-383.166666666667,1160.11504031855,0.8017,-0.0412794805874841
bench_076A,2,76,0.2,0,0.749765518653484,911.714870682637,17.7174627416238,148.90081482432,159.745668434476,167.736655395753,63.499054709557,4.22708862112788,0.118988353170046,0.713703416320064,-82.0080591924885,613.149129317363,346.057557749826,346.493132547197,2.60649821282828,1.19439746998826,0.421481585772939,0.0230723565878466,7.80089739893745e-05,2.40374922101257,30.0794278903335,0.0206748433493837,0.00154729,0,0.00104289016601956,0,0,3000,72.522973442514,29,1.22794262134015,50.6704963643877,1,127.225,61.2,156.225,93.7849739497278,61.2,156.225,0.192539144761296,30.0794278903335,0.6,66.499054709557,0,6,63.2,64.6,585.199999999996,1157.17140272571,0.7726,-0.0228344813465157
bench_114A,3,114,0.3,0,0.738504208094441,1347.03167556426,16.8053617032379,150.670851593576,172.927922479729,181.944385367832,64.9036089824116,3.80946296362921,0.111536913248285,0.647825645442281,-5.26000818050844,940.26432443574,582.420519024269,359.132586041868,3.97122755011183,1.19488503623979,0.421624272864228,0.0346785463071276,7.80089739893745e-05,2.16775403173231,31.0111539834983,0.0211104249879346,0.00194381,0,0.00140515286808542,0,0,3000,87.4437021549634,28.2556297845037,1.21233759307532,59.7768921711017,0,133.069370219716,62.3,161.32500000422,92.899438575588,62.3,161.32500000422,0.192227825710133,31.0111539834983,0.600000000015693,67.9036089824116,0,6,64.4,66.3,794.199999999996,1156.49350858543,0.7504,-0.0118957919055591
bench_152A,4,152,0.4,0,0.722298906013139,1756.63093942395,16.0363152384546,159.733885845227,182.445153861352,192.573103673823,66.6133243908903,3.68410518414888,0.100393946804705,0.620079820283275,88.8687548981725,1293.09706057605,824.707494467718,374.518142142915,5.00266906724092,1.19434670118304,0.425696499679616,0.0462732865162954,7.80089739893745e-05,1.90983647290861,32.9310350905214,0.020590265853823,0.00208173,0,0.00163663288609048,0,0,3000,87.4508306362743,28.2549169363726,1.19735210269675,60.0430311917013,0,143.170083066148,63.8,171.42500000252,92.4993556529828,63.8,171.42500000252,0.192101706810776,32.9310350905214,0.600000000008821,69.6133243908903,0,6,65.9,69.3,1421.2,1156.14649519892,0.7338,-0.0115010939868612
bench_228A,5,228,0.6,0,0.693159164968986,2528.64463380686,15.6783039053609,176.228977148299,200.584979529198,214.787391190441,71.3959318252181,3.52974377772396,0.0889655274578784,0.563810382677259,355.216703743157,2045.94736619314,1266.49574418762,417.556282092888,6.67863616946897,1.19210280876609,0.429374909983491,0.0694907248396196,7.80089739893745e-05,1.71522098229401,36.3920985313425,0.0212016082075467,0.00259462,0,0.00220714587239627,0,0,3000,96.8417079333825,27.3158292066617,1.16655062076176,64.6764880032153,0,164.009170795802,68.6,191.325000002464,93.403136656258,68.6,191.325000002464,0.190210890008487,36.3920985313425,0.600000000007727,74.3959318252181,0,6,70.3,75.5,2173.6,1155.63369458276,0.7102,-0.0170408350310137
bench_266A,6,266,0.7,0,0.676947649405893,2881.08919587148,15.6970749741749,184.331269236559,205.176628041576,224.022347697062,74.4770516000643,3.59072401368225,0.0851568756575436,0.538642556002679,528.999562095417,2455.93480412852,1475.50811739832,445.282884409337,6.14424022544803,1.18943870157188,0.431354910502569,0.0810581326894261,7.80089739893745e-05,1.66497325216701,37.8671467037208,0.0217017957160391,0.002868305,0,0.00251449473211107,0,0,3000,102.064156716496,26.7935843283504,1.15351725776645,66.8741025527044,0,174.531415673878,72.2,201.325000002229,95.3988563192653,72.2,201.325000002229,0.188089639653802,37.8671467037208,0.600000000006642,77.4770516000643,0,6,73.2,79.2,2508,1155.40211321451,0.7012,-0.0242523505941066
bench_342A,7,342,0.9,0,0.65907405657363,3606.45323757091,16.5192262995638,201.091045940729,219.562346180618,242.515129117794,76.3587828163253,3.67959831578136,0.082147995313689,0.503554638831281,638.023453582191,3255.43476242909,2147.98069463833,462.216284877856,7.21432933071916,1.18938536247687,0.426057333610829,0.104175963318417,7.80089739893745e-05,1.61302681594712,41.6763080207976,0.0238721721136827,0.003514805,0,0.00312951781130035,0,0,3000,112.228790653032,25.7771209346968,1.13181999752525,71.2681011875156,0,195.547879067128,74.2,221.325000001824,94.3756665077909,74.2,221.325000001824,0.188303662127885,41.6763080207976,0.600000000004946,79.3587828163253,0,6,74.5,82.8,3469.4,1155.58454477469,0.6826,-0.0235259434263696
bench_418A,8,418,1.1,0,0.643099891884552,4301.05207692388,17.5228783435558,217.8427759171,239.951722689283,264.192870318207,77.6935480073276,3.61957129198698,0.0804381888257987,0.478528784649929,716.844694111711,4085.69992307612,2881.86291444319,474.227595172066,12.7647193491499,1.19057540968515,0.420018101941633,0.127379406884975,7.80089739893745e-05,1.58226201946188,45.8068104950828,0.0262613073994852,0.00429707,0,0.00374212095411195,0,0,3000,123.631763174217,24.7276177619337,1.11416397329647,75.9605908666699,0,216.597382238258,74.5,241.325000000192,92.0893521583948,74.5,241.325000000192,0.18981378015144,45.8068104950828,0.600000000000477,80.6935480073276,0,6.5,75.2,83.8,3894.36666666666,1155.72786486344,0.666,-0.0229001081154484
bench_494A,9,494,1.3,0,0.61727333030939,4878.92840276541,16.7484434115082,224.757760662036,249.983428703168,275.837198301829,78.9440574710775,3.60560386534117,0.0745177535235033,0.458831484943618,616.337756745392,5032.68759723459,3910.05945064487,485.484190484563,20.806199359756,1.19036305105529,0.422449395826657,0.150562315945249,7.80089739893745e-05,1.50974688827907,48.7267192617724,0.0259586057111342,0.005066405,0,0.00418864676919137,0,0,3000,137.574560062778,23.6819079952917,1.10403086597847,81.8365985446961,0,227.643092004949,74.3,251.325000000241,90.3724322844808,74.3,251.325000000241,0.193879316668559,48.7267192617724,0.500000000000479,81.9440574710775,0,7.5,75.9,85,4754.75,1284.48936585314,0.6469,-0.0296266696906105
bench_570A,10,570,1.5,0,0.592641937276201,5404.89446795896,15.5471776750496,219.290132685484,250.403508309054,277.063662054807,79.3543096540275,3.57300400698665,0.0708977530573531,0.424560214078053,491.88641842582,6031.58553204104,5029.1070514415,489.178949157879,21.4131130158478,1.19029607494826,0.423812887637232,0.17376324106084,7.80089739893745e-05,1.46753982250784,48.9778782816304,0.0256799955298861,0.00585298,0,0.00470186263188408,0,0,3000,157.990372129223,22.1507220903082,1.0966966797511,88.2933232678558,0,229.074277910315,75.1,251.225000000624,90.1101406467888,75.1,251.225000000624,0.194956227610743,48.9778782816304,0.450000000001117,82.3543096540275,0,9.1,75.8,85.4,6086.08000000001,1414.93216432137,0.624,-0.0313580627237987
bench_646A,11,646,1.7,0,0.567566175671452,5866.36399174013,14.4021438553379,213.728199970374,250.857834692926,278.346440418764,79.7651600064772,3.55674336637503,0.0673853233093914,0.395082627282459,338.119368494651,7094.98000825987,6238.0352317635,492.879677670925,25.9457303308039,1.19018576216958,0.425586101613753,0.196955475910388,7.80089739893745e-05,1.42982663423739,49.4257515384165,0.0252768205545559,0.00665464,0,0.00519075127954544,0,0,3000,177.22335935384,19.9331968775392,1.08610757099868,89.7094618511814,0,231.491803175409,75.1,251.425000052948,88.5136701790899,75.1,251.425000052948,0.196582485942161,49.4257515384165,0.400000000084237,82.7651600064772,0,10,75.9,85.4,6618.33333333333,1613.91384090433,0.6019,-0.0343338243285483
bench_684A,12,684,1.8,0,0.555678998357353,6081.35095802287,13.9045391017368,210.254439707202,251.358408190493,279.170764775922,79.9004902673457,3.54710392330396,0.0661319643052489,0.379362369138047,342.111012503483,7642.42504197713,6779.32028943329,494.097570185861,26.8961698544911,1.1902406237131,0.425928798270216,0.208554818111538,7.80089739893745e-05,1.41648579231503,49.3566039086316,0.0252207377839893,0.00702961,0,0.00545520079067348,0,0,3000,186.61085453811,18.8066974554268,1.08091745462349,89.2587644376664,0,232.418302613882,75.3,251.225000069309,87.9343696140686,75.3,251.225000069309,0.196463743238193,49.3566039086316,0.400000000110353,82.9004902673457,0,11.1,75.7,85,7191.69,1613.93548323044,0.5902,-0.0345210016426467
bench_722A,13,722,1.9,0,0.543258726149447,6275.72480447841,13.4073782521388,206.367566097575,251.226133144933,279.751994273106,80.2893733920744,3.54670871212525,0.0649684371709821,0.363625678763243,335.467136701303,8210.48319552159,7348.63199258236,497.597651185936,28.786415051992,1.19006243366458,0.426579022953035,0.220146675588107,7.80089739893745e-05,1.40494719628195,49.336322070637,0.025164298799868,0.00742182,0,0.00572569136672993,0,0,3000,196.194544128837,17.6566547045395,1.07556288668731,88.2374241800005,0,233.668345382384,75.6,251.325000086923,87.4297711369854,75.6,251.325000086923,0.196304872390624,49.336322070637,0.400000000138344,83.2893733920744,0,11.5,75.8,85.2,7530.96666666667,1636.89480709171,0.5789,-0.0356412738505532
