case_index,case_id,is_no_egr,current_A,current_density_A_cm2,pCa_in_abs_kPa,pCa_out_abs_kPa,pCa_target_abs_kPa,pCa_model_abs_kPa,pCa_err_kPa,pAn_in_abs_kPa,pAn_out_abs_kPa,pAn_target_abs_kPa,pAn_model_abs_kPa,pAn_err_kPa,cathode_dp_kPa,anode_dp_kPa,mCaOut_kg_s,mAnOut_kg_s,Kca_current_kg_s_kPa,Kan_current_kg_s_kPa,Kca_required_kg_s_kPa,Kan_required_kg_s_kPa,Vca_m3,Van_m3,lambdaO2,stack_T_C,max_gas_residual_kg_s,valid_for_k_fit
1,initial_noegr_01,1,38,0.1,141.325,133.825,137.575,142.174072854477,4.59907285447724,149.125,144.725,146.925,153.064700400963,6.13970040096336,7.5,4.40000000000001,0.00103825888718079,5.56258407026332e-05,0.00012,6.67e-06,0.000276869036581544,2.52844730466513e-05,0.0002,0.00015,4.59262356283096,58.8220507165515,9.82558218814988e-20,1
2,initial_noegr_02,1,76,0.2,156.225,145.925,151.075,158.189126648891,7.11412664889082,168.025,162.225,165.125,171.02945366515,5.90445366515047,10.3,5.80000000000001,0.00151577689645865,5.87255920744636e-05,0.00012,6.67e-06,0.000294325610962846,2.02502041636081e-05,0.0002,0.00015,3.38039965979346,63.3012673203534,1.19262238973405e-18,1
3,initial_noegr_03,1,114,0.3,161.325,147.425,154.375,162.338210759423,7.96321075942285,181.325,174.825,178.075,185.794000191235,7.71900019123476,13.9,6.5,0.00188687732095361,7.316308904322e-05,0.00012,6.67e-06,0.000271493139705555,2.25117197056061e-05,0.0002,0.00015,2.82817392094889,64.7240636573928,7.04731412115578e-19,1
4,initial_noegr_04,1,152,0.4,171.425,157.525,164.475,172.55713931578,8.08213931578015,191.425,184.025,187.725,196.961940986514,9.23694098651447,13.9,7.40000000000001,0.00198492462471848,8.62892311870051e-05,0.00012,6.67e-06,0.000285600665427118,2.33214138343256e-05,0.0002,0.00015,2.27067124418183,66.4640223367443,1.30104260698261e-18,1
5,initial_noegr_05,1,228,0.6,191.325,174.825,183.075,192.531178546288,9.45617854628773,210.925,204.525,207.725,219.599626535932,11.8746265359322,16.5,6.40000000000001,0.00244128174619394,0.000100547568444241,0.00012,6.67e-06,0.000295912938932599,3.14211151388252e-05,0.0002,0.00015,1.87472879435769,71.3880766629483,3.25260651745651e-19,1
6,initial_noegr_06,1,266,0.7,201.325,183.325,192.325,202.496216141908,10.1712161419084,222.325,215.525,218.925,227.570364876175,8.64536487617511,18,6.79999999999998,0.00269408655253226,8.03424161950863e-05,0.00012,6.67e-06,0.000299342950281363,2.36301224103195e-05,0.0002,0.00015,1.76354485331628,74.5836421834458,1.95156391047391e-18,1
7,initial_noegr_07,1,342,0.9,221.325,200.225,210.775,222.951888204644,12.1768882046437,240.725,234.225,237.475,245.224435723363,7.74943572336298,21.1,6.5,0.00328097261235344,7.33660641624241e-05,0.00012,6.67e-06,0.000310992664678052,2.25741735884382e-05,0.0002,0.00015,1.68204890782541,76.4807019611686,2.16840434497101e-19,1
8,initial_noegr_08,1,418,1.1,241.325,216.225,228.775,244.286016130593,15.5110161305931,261.225,254.225,257.725,267.260446869823,9.53544686982281,25.1,7,0.00402259400694148,8.69460548208476e-05,0.00012,6.67e-06,0.0003205254188798,2.48417299488136e-05,0.0002,0.00015,1.69125213787844,78.0088901726365,1.73472347597681e-18,1
9,initial_noegr_09,1,494,1.3,251.325,221.225,236.275,255.570312968806,19.2953129688059,271.225,263.925,267.575,278.815346403117,11.2403464031172,30.1,7.30000000000001,0.00479486631304304,9.93184599282336e-05,0.00012,6.67e-06,0.000318595768308508,2.72105369666391e-05,0.0002,0.00015,1.71049060577994,78.4029780797948,2.84603070277445e-19,1
10,initial_noegr_10,1,570,1.5,251.225,213.825,232.525,254.720513949472,22.1955139494721,271.525,263.125,267.325,280.273384599676,12.9483845996763,37.4,8.39999999999998,0.00558835031765618,0.000114379536874911,0.00012,6.67e-06,0.000298842262976266,2.72332230654551e-05,0.0002,0.00015,1.71867575115705,79.0442332287083,1.30104260698261e-18,1
11,initial_noegr_11,1,646,1.7,251.425,205.725,228.575,253.343034475946,24.7680344759455,271.425,262.325,266.875,281.37260011912,14.4976001191195,45.7,9.10000000000002,0.00640179851088163,0.000127047410774872,0.00012,6.67e-06,0.000280166236800071,2.79225078626091e-05,0.0002,0.00015,1.73337940168276,79.0226611336788,8.67361737988404e-19,1
12,initial_noegr_12,1,684,1.8,251.225,201.225,226.225,251.803652792293,25.5786527922925,271.425,262.125,266.775,282.200906034384,15.4259060343844,50,9.30000000000001,0.00677490899004632,0.000133906192886931,0.00012,6.67e-06,0.000270996359601853,2.87970307283723e-05,0.0002,0.00015,1.72865744111322,79.2213346502755,2.16840434497101e-19,1
13,initial_noegr_13,1,722,1.9,251.325,196.025,223.675,249.855746786783,26.1807467867829,271.125,261.525,266.325,282.66741373092,16.3424137309199,55.3,9.60000000000002,0.00717061193301423,0.000141019812184758,0.00012,6.67e-06,0.000259334970452594,2.93791275384913e-05,0.0002,0.00015,1.72815361476621,79.4745901055781,2.05998412772246e-18,1
14,cegr0608_001,1,38,0.1,141.005,134.315,137.66,144.16903031615,6.50903031614993,149.125,144.725,146.925,151.45549630211,4.53049630210953,6.69,4.40000000000001,0.00121323593812393,4.48922876765934e-05,0.00012,6.67e-06,0.000362701326793402,2.04055853075423e-05,0.0002,0.00015,5.50288888229954,50.3614528193338,8.67361737988404e-19,1
15,cegr0608_002,0,38,0.1,141.085,134.165,137.625,143.971856086066,6.34685608606571,149.125,144.725,146.925,151.702484543526,4.77748454352621,6.91999999999999,4.40000000000001,0.00119635343415655,4.65397258759176e-05,0.00012,6.67e-06,0.000345766888484553,2.11544208526897e-05,0.0002,0.00015,5.3620315996811,51.9096303385372,1.13841228110978e-18,1
16,cegr0608_003,0,38,0.1,141.405,133.915,137.66,144.453812920728,6.79381292072773,149.125,144.725,146.925,151.873900449433,4.94890044943301,7.48999999999998,4.40000000000001,0.0012768738625769,4.76830971930963e-05,0.00012,6.67e-06,0.000340954302423738,2.16741350877709e-05,0.0002,0.00015,5.43011454342231,52.9161745916733,4.33680868994202e-19,1
17,cegr0608_004,0,38,0.1,140.835,133.845,137.34,143.754298032108,6.41429803210787,149.125,144.725,146.925,151.895635566855,4.97063556685495,6.99000000000001,4.40000000000001,0.00120963846184289,4.7828073677237e-05,0.00012,6.67e-06,0.000346105425419996,2.1740033489653e-05,0.0002,0.00015,4.9891088982541,53.0397385231545,3.79470760369927e-19,1
18,cegr0608_005,0,38,0.1,140.925,133.755,137.34,144.148983397804,6.80898339780438,149.125,144.725,146.925,151.931859469937,5.00685946993715,7.17000000000002,4.40000000000001,0.00127043921653057,4.80696911889174e-05,0.00012,6.67e-06,0.000354376350496672,2.18498596313259e-05,0.0002,0.00015,5.02396716223899,53.2417271110875,2.16840434497101e-19,1
19,cegr0608_006,0,38,0.1,140.835,133.595,137.215,143.516665981123,6.30166598112319,149.125,144.725,146.925,151.939584910975,5.01458491097532,7.24000000000001,4.40000000000001,0.00122385888625129,4.81212191725652e-05,0.00012,6.67e-06,0.000338082565262786,2.18732814420749e-05,0.0002,0.00015,4.5637887598275,53.2831078056039,1.51788304147971e-18,1
20,cegr0608_007,0,38,0.1,140.765,133.435,137.1,143.576843219363,6.47684321936262,149.125,144.725,146.925,151.965887881396,5.04088788139629,7.32999999999998,4.40000000000001,0.00125397419452412,4.82966625742704e-05,0.00012,6.67e-06,0.000342148484181207,2.195302844285e-05,0.0002,0.00015,4.36400602602394,53.4280100868304,8.67361737988404e-19,1
21,cegr0608_008,1,38,0.1,142.045,135.925,138.985,143.8279371613,4.84293716130028,149.125,144.725,146.925,151.857674240714,4.93267424071442,6.12,4.40000000000001,0.000970036318828359,4.75748653971455e-05,0.00012,6.67e-06,0.000317005332950444,2.16249388168841e-05,0.0002,0.00015,4.41298123051766,52.8319375584585,7.58941520739853e-19,1
22,cegr0608_009,0,38,0.1,142.685,136.005,139.345,144.648566384382,5.3035663843817,149.125,144.725,146.925,151.862746176622,4.93774617662152,6.68000000000001,4.40000000000001,0.00105578199295487,4.76086815704786e-05,0.00012,6.67e-06,0.00031610239310026,2.16403098047628e-05,0.0002,0.00015,4.74145578507289,52.8589479570142,1.02999206386123e-18,1
23,cegr0608_010,0,38,0.1,142.285,134.405,138.345,145.263974995898,6.91897499589842,149.125,144.725,146.925,151.953274031631,5.02827403163064,7.88,4.40000000000001,0.00130964646257768,4.82125133919084e-05,0.00012,6.67e-06,0.000332397579334437,2.19147788145037e-05,0.0002,0.00015,5.68722700770061,53.3673886575754,2.71050543121376e-19,1
24,cegr0608_011,0,38,0.1,142.525,134.165,138.345,145.43817185833,7.09317185833027,149.125,144.725,146.925,151.974303658801,5.04930365880062,8.35999999999999,4.40000000000001,0.00136055911243047,4.83527834861725e-05,0.00012,6.67e-06,0.000325492610629298,2.197853794826e-05,0.0002,0.00015,5.8752978330495,53.482524070747,8.67361737988404e-19,1
25,cegr0608_012,0,38,0.1,142.615,134.075,138.345,145.558704895946,7.21370489594574,149.125,144.725,146.925,152.017779692675,5.09277969267509,8.54000000000002,4.40000000000001,0.00138602224508762,4.86427737079682e-05,0.00012,6.67e-06,0.00032459537355682,2.21103516854399e-05,0.0002,0.00015,5.96579825319702,53.7225351174664,5.96311194867027e-19,1
26,cegr0608_013,1,38,0.1,141.885,137.535,139.71,143.066931100886,3.35693110088641,149.125,144.725,146.925,151.768210304147,4.84321030414739,4.34999999999999,4.40000000000001,0.000705330866567224,4.69781147909209e-05,0.00012,6.67e-06,0.000324290053594128,2.13536885413275e-05,0.0002,0.00015,3.27375340139622,52.3132791089604,5.42101086242752e-19,1
27,cegr0608_014,0,38,0.1,142.365,137.775,140.07,143.311393611243,3.24139361124287,149.125,144.725,146.925,151.694666102442,4.76966610244153,4.59,4.40000000000001,0.000709973530167527,4.64875652673971e-05,0.00012,6.67e-06,0.000309356658025068,2.11307114851803e-05,0.0002,0.00015,3.1636436043504,51.8722248965057,1.62630325872826e-19,1
28,cegr0608_015,0,20,0.05,133.545,130.275,131.91,134.905285958718,2.99528595871772,149.125,144.725,146.925,148.203163727146,1.27816372714628,3.27000000000001,4.40000000000001,0.000591266687227153,2.31993590129891e-05,0.00012,6.67e-06,0.000361631001362169,1.05451631877223e-05,0.0002,0.00015,4.54559717819328,48.676090903709,8.80914265144472e-20,1
29,cegr0608_016,1,20,0.05,134.915,130.575,132.745,134.793210353872,2.04821035387201,149.125,144.725,146.925,148.270424024703,1.34542402470348,4.34000000000003,4.40000000000001,0.000545633958131068,2.36480035166541e-05,0.00012,6.67e-06,0.000251444220336896,1.074909250757e-05,0.0002,0.00015,4.72685031486584,49.5093809585893,5.96311194867027e-19,1
